cause,code,year,yearcode,deaths,population,rate,
Drowning,GRINJ-002,2018,2018,4528,327167434,1.4,
Drowning,GRINJ-002,2019,2019,4532,328239523,1.4,
Fall,GRINJ-003,1999,1999,13931,279040168,5,
Fall,GRINJ-003,2000,2000,14002,281421906,5,
Fall,GRINJ-003,2001,2001,15764,284968955,5.5,
Fall,GRINJ-003,2002,2002,17116,287625193,6,
Fall,GRINJ-003,2003,2003,18044,290107933,6.2,
Fall,GRINJ-003,2004,2004,19571,292805298,6.7,
Fall,GRINJ-003,2005,2005,20426,295516599,6.9,
Fall,GRINJ-003,2006,2006,21647,298379912,7.3,
Fall,GRINJ-003,2007,2007,23443,301231207,7.8,
Fall,GRINJ-003,2008,2008,24820,304093966,8.2,
Fall,GRINJ-003,2009,2009,25562,306771529,8.3,
Fall,GRINJ-003,2010,2010,26852,308745538,8.7,
Fall,GRINJ-003,2011,2011,28360,311591917,9.1,
Fall,GRINJ-003,2012,2012,29776,313914040,9.5,
Fall,GRINJ-003,2013,2013,31240,316128839,9.9,
Fall,GRINJ-003,2014,2014,33018,318857056,10.4,
Fall,GRINJ-003,2015,2015,34488,321418820,10.7,
Fall,GRINJ-003,2016,2016,35862,323127513,11.1,
Fall,GRINJ-003,2017,2017,37587,325719178,11.5,
Fall,GRINJ-003,2018,2018,38707,327167434,11.8,
Fall,GRINJ-003,2019,2019,40727,328239523,12.4,
Fire/Flame,GRINJ-004,1999,1999,3779,279040168,1.4,
Fire/Flame,GRINJ-004,2000,2000,3789,281421906,1.3,
Fire/Flame,GRINJ-004,2001,2001,3673,284968955,1.3,
Fire/Flame,GRINJ-004,2002,2002,3539,287625193,1.2,
Fire/Flame,GRINJ-004,2003,2003,3782,290107933,1.3,
Fire/Flame,GRINJ-004,2004,2004,3627,292805298,1.2,
Fire/Flame,GRINJ-004,2005,2005,3626,295516599,1.2,
Fire/Flame,GRINJ-004,2006,2006,3577,298379912,1.2,
Fire/Flame,GRINJ-004,2007,2007,3680,301231207,1.2,
Fire/Flame,GRINJ-004,2008,2008,3297,304093966,1.1,
Fire/Flame,GRINJ-004,2009,2009,3125,306771529,1,
Fire/Flame,GRINJ-004,2010,2010,3127,308745538,1,
Fire/Flame,GRINJ-004,2011,2011,3100,311591917,1,
Fire/Flame,GRINJ-004,2012,2012,2848,313914040,0.9,
Fire/Flame,GRINJ-004,2013,2013,3160,316128839,1,
Fire/Flame,GRINJ-004,2014,2014,3122,318857056,1,
Fire/Flame,GRINJ-004,2015,2015,3080,321418820,1,
Fire/Flame,GRINJ-004,2016,2016,3200,323127513,1,
Fire/Flame,GRINJ-004,2017,2017,3304,325719178,1,
Fire/Flame,GRINJ-004,2018,2018,3470,327167434,1.1,
Fire/Flame,GRINJ-004,2019,2019,3150,328239523,1,
Hot object/Substance,GRINJ-005,1999,1999,131,279040168,0,
Hot object/Substance,GRINJ-005,2000,2000,118,281421906,0,
Hot object/Substance,GRINJ-005,2001,2001,123,284968955,0,
Hot object/Substance,GRINJ-005,2002,2002,106,287625193,0,
Hot object/Substance,GRINJ-005,2003,2003,93,290107933,0,
Hot object/Substance,GRINJ-005,2004,2004,101,292805298,0,
Hot object/Substance,GRINJ-005,2005,2005,110,295516599,0,
Hot object/Substance,GRINJ-005,2006,2006,98,298379912,0,
Hot object/Substance,GRINJ-005,2007,2007,94,301231207,0,
Hot object/Substance,GRINJ-005,2008,2008,85,304093966,0,
Hot object/Substance,GRINJ-005,2009,2009,70,306771529,0,
Hot object/Substance,GRINJ-005,2010,2010,67,308745538,0,
Hot object/Substance,GRINJ-005,2011,2011,72,311591917,0,
Hot object/Substance,GRINJ-005,2012,2012,63,313914040,0,
Hot object/Substance,GRINJ-005,2013,2013,60,316128839,0,
Hot object/Substance,GRINJ-005,2014,2014,74,318857056,0,
Hot object/Substance,GRINJ-005,2015,2015,66,321418820,0,
Hot object/Substance,GRINJ-005,2016,2016,84,323127513,0,
Hot object/Substance,GRINJ-005,2017,2017,94,325719178,0,
Hot object/Substance,GRINJ-005,2018,2018,101,327167434,0,
Hot object/Substance,GRINJ-005,2019,2019,72,328239523,0,
Firearm,GRINJ-006,1999,1999,28874,279040168,10.3,
Firearm,GRINJ-006,2000,2000,28663,281421906,10.2,
Firearm,GRINJ-006,2001,2001,29573,284968955,10.4,
Firearm,GRINJ-006,2002,2002,30242,287625193,10.5,
Firearm,GRINJ-006,2003,2003,30136,290107933,10.4,
Firearm,GRINJ-006,2004,2004,29569,292805298,10.1,
Firearm,GRINJ-006,2005,2005,30694,295516599,10.4,
Firearm,GRINJ-006,2006,2006,30896,298379912,10.4,
Firearm,GRINJ-006,2007,2007,31224,301231207,10.4,
Firearm,GRINJ-006,2008,2008,31593,304093966,10.4,
Firearm,GRINJ-006,2009,2009,31347,306771529,10.2,
Firearm,GRINJ-006,2010,2010,31672,308745538,10.3,
Firearm,GRINJ-006,2011,2011,32351,311591917,10.4,
Firearm,GRINJ-006,2012,2012,33563,313914040,10.7,
Firearm,GRINJ-006,2013,2013,33636,316128839,10.6,
Firearm,GRINJ-006,2014,2014,33594,318857056,10.5,
Firearm,GRINJ-006,2015,2015,36252,321418820,11.3,
Firearm,GRINJ-006,2016,2016,38658,323127513,12,
Firearm,GRINJ-006,2017,2017,39773,325719178,12.2,
Firearm,GRINJ-006,2018,2018,39740,327167434,12.1,
Firearm,GRINJ-006,2019,2019,39707,328239523,12.1,
Machinery,GRINJ-007,1999,1999,622,279040168,0.2,
Machinery,GRINJ-007,2000,2000,676,281421906,0.2,
Machinery,GRINJ-007,2001,2001,648,284968955,0.2,
Machinery,GRINJ-007,2002,2002,652,287625193,0.2,
Machinery,GRINJ-007,2003,2003,640,290107933,0.2,
Machinery,GRINJ-007,2004,2004,795,292805298,0.3,
Machinery,GRINJ-007,2005,2005,755,295516599,0.3,
Machinery,GRINJ-007,2006,2006,740,298379912,0.2,
Machinery,GRINJ-007,2007,2007,659,301231207,0.2,
Machinery,GRINJ-007,2008,2008,693,304093966,0.2,
Machinery,GRINJ-007,2009,2009,608,306771529,0.2,
Machinery,GRINJ-007,2010,2010,590,308745538,0.2,
Machinery,GRINJ-007,2011,2011,610,311591917,0.2,
Machinery,GRINJ-007,2012,2012,627,313914040,0.2,
Machinery,GRINJ-007,2013,2013,588,316128839,0.2,
Machinery,GRINJ-007,2014,2014,605,318857056,0.2,
Machinery,GRINJ-007,2015,2015,550,321418820,0.2,
Machinery,GRINJ-007,2016,2016,610,323127513,0.2,
Machinery,GRINJ-007,2017,2017,572,325719178,0.2,
Machinery,GRINJ-007,2018,2018,525,327167434,0.2,
Machinery,GRINJ-007,2019,2019,531,328239523,0.2,
Motor Vehicle Traffic,GRINJ-008,1999,1999,40965,279040168,14.7,
Motor Vehicle Traffic,GRINJ-008,2000,2000,41994,281421906,14.9,
Motor Vehicle Traffic,GRINJ-008,2001,2001,42443,284968955,14.9,
Motor Vehicle Traffic,GRINJ-008,2002,2002,44065,287625193,15.3,
Motor Vehicle Traffic,GRINJ-008,2003,2003,43340,290107933,14.9,
Motor Vehicle Traffic,GRINJ-008,2004,2004,43432,292805298,14.8,
Motor Vehicle Traffic,GRINJ-008,2005,2005,43667,295516599,14.8,
Motor Vehicle Traffic,GRINJ-008,2006,2006,43664,298379912,14.6,
Motor Vehicle Traffic,GRINJ-008,2007,2007,42031,301231207,14,
Motor Vehicle Traffic,GRINJ-008,2008,2008,37985,304093966,12.5,
Motor Vehicle Traffic,GRINJ-008,2009,2009,34485,306771529,11.2,
Motor Vehicle Traffic,GRINJ-008,2010,2010,33687,308745538,10.9,
Motor Vehicle Traffic,GRINJ-008,2011,2011,33783,311591917,10.8,
Motor Vehicle Traffic,GRINJ-008,2012,2012,34935,313914040,11.1,
Motor Vehicle Traffic,GRINJ-008,2013,2013,33804,316128839,10.7,
Motor Vehicle Traffic,GRINJ-008,2014,2014,33736,318857056,10.6,
Motor Vehicle Traffic,GRINJ-008,2015,2015,36161,321418820,11.3,
Motor Vehicle Traffic,GRINJ-008,2016,2016,38748,323127513,12,
Motor Vehicle Traffic,GRINJ-008,2017,2017,38659,325719178,11.9,
Motor Vehicle Traffic,GRINJ-008,2018,2018,37991,327167434,11.6,
Motor Vehicle Traffic,GRINJ-008,2019,2019,37595,328239523,11.5,
Other Pedal cyclist,GRINJ-009,1999,1999,185,279040168,0.1,
Other Pedal cyclist,GRINJ-009,2000,2000,168,281421906,0.1,
Other Pedal cyclist,GRINJ-009,2001,2001,207,284968955,0.1,
Other Pedal cyclist,GRINJ-009,2002,2002,217,287625193,0.1,
Other Pedal cyclist,GRINJ-009,2003,2003,190,290107933,0.1,
Other Pedal cyclist,GRINJ-009,2004,2004,206,292805298,0.1,
Other Pedal cyclist,GRINJ-009,2005,2005,227,295516599,0.1,
Other Pedal cyclist,GRINJ-009,2006,2006,238,298379912,0.1,
Other Pedal cyclist,GRINJ-009,2007,2007,242,301231207,0.1,
Other Pedal cyclist,GRINJ-009,2008,2008,311,304093966,0.1,
Other Pedal cyclist,GRINJ-009,2009,2009,256,306771529,0.1,
Other Pedal cyclist,GRINJ-009,2010,2010,242,308745538,0.1,
Other Pedal cyclist,GRINJ-009,2011,2011,272,311591917,0.1,
Other Pedal cyclist,GRINJ-009,2012,2012,290,313914040,0.1,
Other Pedal cyclist,GRINJ-009,2013,2013,302,316128839,0.1,
Other Pedal cyclist,GRINJ-009,2014,2014,279,318857056,0.1,
Other Pedal cyclist,GRINJ-009,2015,2015,338,321418820,0.1,
Other Pedal cyclist,GRINJ-009,2016,2016,311,323127513,0.1,
Other Pedal cyclist,GRINJ-009,2017,2017,345,325719178,0.1,
Other Pedal cyclist,GRINJ-009,2018,2018,342,327167434,0.1,
Other Pedal cyclist,GRINJ-009,2019,2019,377,328239523,0.1,
Other Pedestrian,GRINJ-010,1999,1999,1502,279040168,0.5,
Other Pedestrian,GRINJ-010,2000,2000,1272,281421906,0.5,
Other Pedestrian,GRINJ-010,2001,2001,1249,284968955,0.4,
Other Pedestrian,GRINJ-010,2002,2002,1050,287625193,0.4,
Other Pedestrian,GRINJ-010,2003,2003,1040,290107933,0.4,
Other Pedestrian,GRINJ-010,2004,2004,1137,292805298,0.4,
Other Pedestrian,GRINJ-010,2005,2005,1157,295516599,0.4,
Other Pedestrian,GRINJ-010,2006,2006,1141,298379912,0.4,
Other Pedestrian,GRINJ-010,2007,2007,1138,301231207,0.4,
Other Pedestrian,GRINJ-010,2008,2008,1089,304093966,0.4,
Other Pedestrian,GRINJ-010,2009,2009,1110,306771529,0.4,
Other Pedestrian,GRINJ-010,2010,2010,1074,308745538,0.3,
Other Pedestrian,GRINJ-010,2011,2011,897,311591917,0.3,
Other Pedestrian,GRINJ-010,2012,2012,943,313914040,0.3,
Other Pedestrian,GRINJ-010,2013,2013,985,316128839,0.3,
Other Pedestrian,GRINJ-010,2014,2014,1032,318857056,0.3,
Other Pedestrian,GRINJ-010,2015,2015,959,321418820,0.3,
Other Pedestrian,GRINJ-010,2016,2016,982,323127513,0.3,
Other Pedestrian,GRINJ-010,2017,2017,970,325719178,0.3,
Other Pedestrian,GRINJ-010,2018,2018,976,327167434,0.3,
Other Pedestrian,GRINJ-010,2019,2019,987,328239523,0.3,
Other land transport,GRINJ-011,1999,1999,2090,279040168,0.7,
Other land transport,GRINJ-011,2000,2000,1662,281421906,0.6,
Other land transport,GRINJ-011,2001,2001,1493,284968955,0.5,
Other land transport,GRINJ-011,2002,2002,1333,287625193,0.5,
Other land transport,GRINJ-011,2003,2003,1716,290107933,0.6,
Other land transport,GRINJ-011,2004,2004,1537,292805298,0.5,
Other land transport,GRINJ-011,2005,2005,1710,295516599,0.6,
Other land transport,GRINJ-011,2006,2006,1647,298379912,0.6,
Other land transport,GRINJ-011,2007,2007,1800,301231207,0.6,
Other land transport,GRINJ-011,2008,2008,1728,304093966,0.6,
Other land transport,GRINJ-011,2009,2009,1581,306771529,0.5,
Other land transport,GRINJ-011,2010,2010,1524,308745538,0.5,
Other land transport,GRINJ-011,2011,2011,1541,311591917,0.5,
Other land transport,GRINJ-011,2012,2012,1467,313914040,0.5,
Other land transport,GRINJ-011,2013,2013,1521,316128839,0.5,
Other land transport,GRINJ-011,2014,2014,1591,318857056,0.5,
Other land transport,GRINJ-011,2015,2015,1625,321418820,0.5,
Other land transport,GRINJ-011,2016,2016,1493,323127513,0.5,
Other land transport,GRINJ-011,2017,2017,1565,325719178,0.5,
Other land transport,GRINJ-011,2018,2018,1431,327167434,0.4,
Other land transport,GRINJ-011,2019,2019,1514,328239523,0.5,
Other transport,GRINJ-012,1999,1999,1408,279040168,0.5,
Other transport,GRINJ-012,2000,2000,1413,281421906,0.5,
Other transport,GRINJ-012,2001,2001,4435,284968955,1.6,
Other transport,GRINJ-012,2002,2002,1274,287625193,0.4,
Other transport,GRINJ-012,2003,2003,1317,290107933,0.5,
Other transport,GRINJ-012,2004,2004,1253,292805298,0.4,
Other transport,GRINJ-012,2005,2005,1133,295516599,0.4,
Other transport,GRINJ-012,2006,2006,1188,298379912,0.4,
Other transport,GRINJ-012,2007,2007,1039,301231207,0.3,
Other transport,GRINJ-012,2008,2008,981,304093966,0.3,
Other transport,GRINJ-012,2009,2009,1006,306771529,0.3,
Other transport,GRINJ-012,2010,2010,875,308745538,0.3,
Other transport,GRINJ-012,2011,2011,1027,311591917,0.3,
Other transport,GRINJ-012,2012,2012,855,313914040,0.3,
Other transport,GRINJ-012,2013,2013,815,316128839,0.3,
Other transport,GRINJ-012,2014,2014,806,318857056,0.3,
Other transport,GRINJ-012,2015,2015,857,321418820,0.3,
Other transport,GRINJ-012,2016,2016,902,323127513,0.3,
Other transport,GRINJ-012,2017,2017,853,325719178,0.3,
Other transport,GRINJ-012,2018,2018,817,327167434,0.2,
Other transport,GRINJ-012,2019,2019,931,328239523,0.3,
Natural/Environmental,GRINJ-013,2000,2000,1643,281421906,0.6,
Natural/Environmental,GRINJ-013,2001,2001,1427,284968955,0.5,
Natural/Environmental,GRINJ-013,2002,2002,1554,287625193,0.5,
Natural/Environmental,GRINJ-013,2003,2003,1420,290107933,0.5,
Natural/Environmental,GRINJ-013,2004,2004,1359,292805298,0.5,
Natural/Environmental,GRINJ-013,2005,2005,2462,295516599,0.8,
Natural/Environmental,GRINJ-013,2006,2006,1588,298379912,0.5,
Natural/Environmental,GRINJ-013,2007,2007,1449,301231207,0.5,
Natural/Environmental,GRINJ-013,2008,2008,1409,304093966,0.5,
Natural/Environmental,GRINJ-013,2009,2009,1327,306771529,0.4,
Natural/Environmental,GRINJ-013,2010,2010,1576,308745538,0.5,
Natural/Environmental,GRINJ-013,2011,2011,2193,311591917,0.7,
Natural/Environmental,GRINJ-013,2012,2012,1456,313914040,0.5,
Natural/Environmental,GRINJ-013,2013,2013,1535,316128839,0.5,
Natural/Environmental,GRINJ-013,2014,2014,1625,318857056,0.5,
Natural/Environmental,GRINJ-013,2015,2015,1579,321418820,0.5,
Natural/Environmental,GRINJ-013,2016,2016,1678,323127513,0.5,
Natural/Environmental,GRINJ-013,2017,2017,1750,325719178,0.5,
Natural/Environmental,GRINJ-013,2018,2018,2003,327167434,0.6,
Natural/Environmental,GRINJ-013,2019,2019,2114,328239523,0.6,
Overexertion,GRINJ-014,1999,1999,21,279040168,0,
Overexertion,GRINJ-014,2000,2000,13,281421906,Unreliable,
Overexertion,GRINJ-014,2001,2001,8,284968955,Unreliable,
Overexertion,GRINJ-014,2002,2002,10,287625193,Unreliable,
Overexertion,GRINJ-014,2003,2003,14,290107933,Unreliable,
Overexertion,GRINJ-014,2004,2004,12,292805298,Unreliable,
Overexertion,GRINJ-014,2005,2005,11,295516599,Unreliable,
Overexertion,GRINJ-014,2006,2006,13,298379912,Unreliable,
Overexertion,GRINJ-014,2007,2007,9,301231207,Unreliable,
Overexertion,GRINJ-014,2008,2008,7,304093966,Unreliable,
Overexertion,GRINJ-014,2009,2009,10,306771529,Unreliable,
Overexertion,GRINJ-014,2010,2010,10,308745538,Unreliable,
Overexertion,GRINJ-014,2011,2011,16,311591917,Unreliable,
Overexertion,GRINJ-014,2012,2012,10,313914040,Unreliable,
Overexertion,GRINJ-014,2013,2013,13,316128839,Unreliable,
Overexertion,GRINJ-014,2014,2014,9,318857056,Unreliable,
Overexertion,GRINJ-014,2015,2015,9,321418820,Unreliable,
Overexertion,GRINJ-014,2016,2016,12,323127513,Unreliable,
Overexertion,GRINJ-014,2017,2017,11,325719178,Unreliable,
Overexertion,GRINJ-014,2018,2018,18,327167434,Unreliable,
Overexertion,GRINJ-014,2019,2019,14,328239523,Unreliable,
Poisoning,GRINJ-015,1999,1999,19741,279040168,7.1,
Poisoning,GRINJ-015,2000,2000,20230,281421906,7.2,
Poisoning,GRINJ-015,2001,2001,22242,284968955,7.8,
Poisoning,GRINJ-015,2002,2002,26435,287625193,9.2,
Poisoning,GRINJ-015,2003,2003,28700,290107933,9.9,
Poisoning,GRINJ-015,2004,2004,30308,292805298,10.4,
Poisoning,GRINJ-015,2005,2005,32691,295516599,11.1,
Poisoning,GRINJ-015,2006,2006,37286,298379912,12.5,
Poisoning,GRINJ-015,2007,2007,40059,301231207,13.3,
Poisoning,GRINJ-015,2008,2008,41080,304093966,13.5,
Poisoning,GRINJ-015,2009,2009,41592,306771529,13.6,
Poisoning,GRINJ-015,2010,2010,42917,308745538,13.9,
Poisoning,GRINJ-015,2011,2011,46047,311591917,14.8,
Poisoning,GRINJ-015,2012,2012,46150,313914040,14.7,
Poisoning,GRINJ-015,2013,2013,48545,316128839,15.4,
Poisoning,GRINJ-015,2014,2014,51966,318857056,16.3,
Poisoning,GRINJ-015,2015,2015,57567,321418820,17.9,
Poisoning,GRINJ-015,2016,2016,68995,323127513,21.4,
Poisoning,GRINJ-015,2017,2017,75354,325719178,23.1,
Poisoning,GRINJ-015,2018,2018,72473,327167434,22.2,
Poisoning,GRINJ-015,2019,2019,75795,328239523,23.1,
Struck by or against,GRINJ-016,1999,1999,1309,279040168,0.5,
Struck by or against,GRINJ-016,2000,2000,1292,281421906,0.5,
Struck by or against,GRINJ-016,2001,2001,1244,284968955,0.4,
Struck by or against,GRINJ-016,2002,2002,1182,287625193,0.4,
Struck by or against,GRINJ-016,2003,2003,1077,290107933,0.4,
Struck by or against,GRINJ-016,2004,2004,1013,292805298,0.3,
Struck by or against,GRINJ-016,2005,2005,1095,295516599,0.4,
Struck by or against,GRINJ-016,2006,2006,1061,298379912,0.4,
Struck by or against,GRINJ-016,2007,2007,1009,301231207,0.3,
Struck by or against,GRINJ-016,2008,2008,1060,304093966,0.3,
Struck by or against,GRINJ-016,2009,2009,910,306771529,0.3,
Struck by or against,GRINJ-016,2010,2010,912,308745538,0.3,
Struck by or against,GRINJ-016,2011,2011,947,311591917,0.3,
Struck by or against,GRINJ-016,2012,2012,986,313914040,0.3,
Struck by or against,GRINJ-016,2013,2013,936,316128839,0.3,
Struck by or against,GRINJ-016,2014,2014,1022,318857056,0.3,
Struck by or against,GRINJ-016,2015,2015,889,321418820,0.3,
Struck by or against,GRINJ-016,2016,2016,1020,323127513,0.3,
Struck by or against,GRINJ-016,2017,2017,1035,325719178,0.3,
Struck by or against,GRINJ-016,2018,2018,1031,327167434,0.3,
Struck by or against,GRINJ-016,2019,2019,1075,328239523,0.3,
Suffocation,GRINJ-017,1999,1999,11748,279040168,4.2,
Suffocation,GRINJ-017,2000,2000,12098,281421906,4.3,
Suffocation,GRINJ-017,2001,2001,12574,284968955,4.4,
Suffocation,GRINJ-017,2002,2002,12791,287625193,4.4,
Suffocation,GRINJ-017,2003,2003,12992,290107933,4.5,
Suffocation,GRINJ-017,2004,2004,14043,292805298,4.8,
Suffocation,GRINJ-017,2005,2005,13920,295516599,4.7,
Suffocation,GRINJ-017,2006,2006,14179,298379912,4.8,
Suffocation,GRINJ-017,2007,2007,14930,301231207,5,
Suffocation,GRINJ-017,2008,2008,15434,304093966,5.1,
Suffocation,GRINJ-017,2009,2009,15645,306771529,5.1,
Suffocation,GRINJ-017,2010,2010,16362,308745538,5.3,
Suffocation,GRINJ-017,2011,2011,16832,311591917,5.4,
Suffocation,GRINJ-017,2012,2012,16987,313914040,5.4,
Suffocation,GRINJ-017,2013,2013,17316,316128839,5.5,
Suffocation,GRINJ-017,2014,2014,18646,318857056,5.8,
Suffocation,GRINJ-017,2015,2015,19414,321418820,6,
Suffocation,GRINJ-017,2016,2016,18924,323127513,5.9,
Suffocation,GRINJ-017,2017,2017,20689,325719178,6.4,
Suffocation,GRINJ-017,2018,2018,21180,327167434,6.5,
Suffocation,GRINJ-017,2019,2019,21250,328239523,6.5,
"Other specified, classifiable Injury",GRINJ-018,1999,1999,2047,279040168,0.7,
"Other specified, classifiable Injury",GRINJ-018,2000,2000,1970,281421906,0.7,
"Other specified, classifiable Injury",GRINJ-018,2001,2001,2061,284968955,0.7,
"Other specified, classifiable Injury",GRINJ-018,2002,2002,2073,287625193,0.7,
"Other specified, classifiable Injury",GRINJ-018,2003,2003,1991,290107933,0.7,
"Other specified, classifiable Injury",GRINJ-018,2004,2004,2092,292805298,0.7,
"Other specified, classifiable Injury",GRINJ-018,2005,2005,2108,295516599,0.7,
"Other specified, classifiable Injury",GRINJ-018,2006,2006,2107,298379912,0.7,
"Other specified, classifiable Injury",GRINJ-018,2007,2007,2121,301231207,0.7,
"Other specified, classifiable Injury",GRINJ-018,2008,2008,2023,304093966,0.7,
"Other specified, classifiable Injury",GRINJ-018,2009,2009,2019,306771529,0.7,
"Other specified, classifiable Injury",GRINJ-018,2010,2010,2002,308745538,0.6,
"Other specified, classifiable Injury",GRINJ-018,2011,2011,2132,311591917,0.7,
"Other specified, classifiable Injury",GRINJ-018,2012,2012,2089,313914040,0.7,
"Other specified, classifiable Injury",GRINJ-018,2013,2013,2100,316128839,0.7,
"Other specified, classifiable Injury",GRINJ-018,2014,2014,2097,318857056,0.7,
"Other specified, classifiable Injury",GRINJ-018,2015,2015,2101,321418820,0.7,
"Other specified, classifiable Injury",GRINJ-018,2016,2016,2230,323127513,0.7,
"Other specified, classifiable Injury",GRINJ-018,2017,2017,2315,325719178,0.7,
"Other specified, classifiable Injury",GRINJ-018,2018,2018,2312,327167434,0.7,
"Other specified, classifiable Injury",GRINJ-018,2019,2019,2416,328239523,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,1999,1999,2230,279040168,0.8,
"Other specified, not elsewhere classified Injury",GRINJ-019,2000,2000,2261,281421906,0.8,
"Other specified, not elsewhere classified Injury",GRINJ-019,2001,2001,2299,284968955,0.8,
"Other specified, not elsewhere classified Injury",GRINJ-019,2002,2002,2066,287625193,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2003,2003,2008,290107933,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2004,2004,1925,292805298,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2005,2005,2023,295516599,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2006,2006,2125,298379912,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2007,2007,2165,301231207,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2008,2008,2162,304093966,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2009,2009,2031,306771529,0.7,
"Other specified, not elsewhere classified Injury",GRINJ-019,2010,2010,1973,308745538,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2011,2011,1959,311591917,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2012,2012,2028,313914040,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2013,2013,1981,316128839,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2014,2014,1888,318857056,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2015,2015,1866,321418820,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2016,2016,2079,323127513,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2017,2017,2094,325719178,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2018,2018,1955,327167434,0.6,
"Other specified, not elsewhere classified Injury",GRINJ-019,2019,2019,2155,328239523,0.7,
Unspecified Injury,GRINJ-020,1999,1999,9258,279040168,3.3,
Unspecified Injury,GRINJ-020,2000,2000,8584,281421906,3.1,
Unspecified Injury,GRINJ-020,2001,2001,9160,284968955,3.2,
Unspecified Injury,GRINJ-020,2002,2002,8656,287625193,3,
Unspecified Injury,GRINJ-020,2003,2003,8841,290107933,3,
Unspecified Injury,GRINJ-020,2004,2004,8453,292805298,2.9,
Unspecified Injury,GRINJ-020,2005,2005,8895,295516599,3,
Unspecified Injury,GRINJ-020,2006,2006,8760,298379912,2.9,
Unspecified Injury,GRINJ-020,2007,2007,8567,301231207,2.8,
Unspecified Injury,GRINJ-020,2008,2008,8410,304093966,2.8,
Unspecified Injury,GRINJ-020,2009,2009,7571,306771529,2.5,
Unspecified Injury,GRINJ-020,2010,2010,8230,308745538,2.7,
Unspecified Injury,GRINJ-020,2011,2011,8493,311591917,2.7,
Unspecified Injury,GRINJ-020,2012,2012,8356,313914040,2.7,
